Token_Name,txhash,timestamp,from_account,to_account,quantity
0x,0x942b596c83431292cbbe313e144db824345ae87ba0218477c783be0d0419394c,2017-08-15 15:02:14,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x095770467a46cac1f9047e328975f182853a8ee7,5906.87500000123
0x,0xa95c6459c04758b0ee837322794dd6ef167873510764ab934c9cc7e6716d2501,2017-08-15 15:02:14,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,39441.5038875082
0x,0xa95c6459c04758b0ee837322794dd6ef167873510764ab934c9cc7e6716d2501,2017-08-15 15:02:14,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0xc9fe1705b910978df0e34dec7b1b43e0654944c9,39441.5038875082
0x,0x5b0dbd6254e1c63cdcbe5263f55efc97e14d1c7c81208e661880dd25da8fd44b,2017-08-15 15:02:14,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,2953.43750000062
0x,0x5b0dbd6254e1c63cdcbe5263f55efc97e14d1c7c81208e661880dd25da8fd44b,2017-08-15 15:02:14,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0xfb051fc7e583b99d50ff03185c45122c349329aa,2953.43750000062
0x,0xc67bd94113157b1a1bb21d7e4ace85ca9395662b1d8e05c26b7c8d055b0ff560,2017-08-15 15:02:14,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,11813.7500000025
0x,0xc67bd94113157b1a1bb21d7e4ace85ca9395662b1d8e05c26b7c8d055b0ff560,2017-08-15 15:02:14,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0xbb34f02302c5a837ffe8f1b4ef4a0ebaf1a97c63,11813.7500000025
0x,0xa810409af9aa0ef19e3f37df0ab90449acc0eb5f2c60b5c267a9ba246db189ca,2017-08-15 15:02:14,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x041977072cc50ec3abb0772384520dccad8c1172,39441.5038875082
0x,0xa810409af9aa0ef19e3f37df0ab90449acc0eb5f2c60b5c267a9ba246db189ca,2017-08-15 15:02:14,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,39441.5038875082
0x,0x9d30a40f97a57aa7656ec85262be462b29a0efdc9eb2e4e1eac7feaa1e301d26,2017-08-15 15:02:14,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,39441.5038875082
0x,0x9d30a40f97a57aa7656ec85262be462b29a0efdc9eb2e4e1eac7feaa1e301d26,2017-08-15 15:02:14,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0xa4d9eff5d80bd3d5e16936110edcc0b83e31cda3,39441.5038875082
0x,0xd1973c82e87f4d9d8a3289130e567b086cdb3bb09f23d2b4093260aec3399da9,2017-08-15 15:02:14,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,39441.5038875082
0x,0xd1973c82e87f4d9d8a3289130e567b086cdb3bb09f23d2b4093260aec3399da9,2017-08-15 15:02:14,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x48412da1eb746c705c2d343c33d8a01182f8f268,39441.5038875082
0x,0xee05ebcf29c967f22adeeb7ae05bde0cb2cad5597579456695bb95148ba1970c,2017-08-15 15:02:14,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,11813.7500000025
0x,0xee05ebcf29c967f22adeeb7ae05bde0cb2cad5597579456695bb95148ba1970c,2017-08-15 15:02:14,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0xefc27c4c8d4761f70f065f98efa204cfd5b38282,11813.7500000025
